order_id,supplier_id,delivery_date,delay_days,is_delayed
O001,S001,2024-05-25,402,1
O002,S002,2024-06-05,391,1
O003,S001,2024-06-15,381,1
O004,S003,2024-06-20,376,1
O005,S004,2024-05-30,397,1
O006,S002,2024-06-10,386,1
O007,S003,2024-06-12,384,1
O008,S001,2024-06-01,395,1
O009,S004,2024-06-18,378,1
O010,S005,2024-06-22,374,1
O011,S005,2024-06-19,377,1
O012,S002,2024-06-08,388,1
O013,S003,2024-06-14,382,1
O014,S001,2024-06-11,385,1
O015,S004,2024-06-02,394,1
O016,S002,2024-06-03,393,1
O017,S005,2024-06-04,392,1
O018,S001,2024-06-09,387,1
O019,S003,2024-06-06,390,1
O020,S004,2024-06-13,383,1
